nivå,regionnummer,regionnavn,fylkesnummer,fylkesnavn,gyldig_fra,gyldig_til,er_gjeldende
kommune,0724,Sandar,07,Vestfold,1932-01-01,1968-01-01,false
kommune,0725,Tjølling,07,Vestfold,1838-01-01,1988-01-01,false
kommune,0726,Brunlanes,07,Vestfold,1838-01-01,1988-01-01,false
kommune,0727,Hedrum,07,Vestfold,1838-01-01,1988-01-01,false
kommune,0728,Lardal,07,Vestfold,1838-01-01,2018-01-01,false
kommune,0729,Færder,07,Vestfold,2018-01-01,2020-01-01,false
kommune,0798,Fredriksvern,07,Vestfold,1838-01-01,1930-01-01,false
kommune,0798,Stavern,07,Vestfold,1930-01-01,1943-01-01,false
kommune,0801,Kragerø,08,Bratsbergs amt,1838-01-01,1960-01-01,false
kommune,0802,Langesund,08,Bratsbergs amt,1838-01-01,1964-01-01,false
kommune,0803,Stathelle,08,Bratsbergs amt,1852-01-01,1964-01-01,false
kommune,0804,Brevik,08,Bratsbergs amt,1838-01-01,1964-01-01,false
kommune,0805,Porsgrunn,08,Bratsbergs amt,1838-01-01,2020-01-01,false
kommune,0806,Skien,08,Bratsbergs amt,1838-01-01,2020-01-01,false
kommune,0807,Notodden,08,Bratsbergs amt,1913-01-01,2020-01-01,false
kommune,0811,Slemdal,08,Bratsbergs amt,1838-01-01,1918-01-01,false
kommune,0811,Siljan,08,Bratsbergs amt,1918-01-01,2020-01-01,false
kommune,0812,Gjerpen,08,Bratsbergs amt,1838-01-01,1964-01-01,false
kommune,0813,Eidanger,08,Bratsbergs amt,1838-01-01,1964-01-01,false
kommune,0814,Bamble,08,Bratsbergs amt,1838-01-01,2020-01-01,false
kommune,0815,Skåtøy,08,Bratsbergs amt,1882-01-01,1960-01-01,false
kommune,0815,Kragerø,08,Telemark,1960-01-01,2020-01-01,false
kommune,0816,Sannidal,08,Bratsbergs amt,1838-01-01,1960-01-01,false
kommune,0817,Drangedal,08,Bratsbergs amt,1838-01-01,2020-01-01,false
kommune,0818,Solum,08,Bratsbergs amt,1838-01-01,1964-01-01,false
kommune,0819,Holla,08,Bratsbergs amt,1838-01-01,1964-01-01,false
kommune,0819,Nome,08,Telemark,1964-01-01,2020-01-01,false
kommune,0820,Lunde,08,Bratsbergs amt,1867-01-01,1964-01-01,false
kommune,0821,Bø (Telemark),08,Bratsbergs amt,1838-01-01,2020-01-01,false
kommune,0822,Sauherad,08,Bratsbergs amt,1838-01-01,2020-01-01,false
kommune,0823,Heddal,08,Bratsbergs amt,1838-01-01,1964-01-01,false
kommune,0824,Gransherad,08,Bratsbergs amt,1860-01-01,1964-01-01,false
kommune,0825,Hovin,08,Bratsbergs amt,1886-01-01,1964-01-01,false
kommune,0826,Tinn,08,Bratsbergs amt,1838-01-01,2020-01-01,false
kommune,0827,Hjartdal,08,Bratsbergs amt,1838-01-01,2020-01-01,false
kommune,0828,Seljord,08,Bratsbergs amt,1838-01-01,2020-01-01,false
kommune,0829,Kviteseid,08,Bratsbergs amt,1838-01-01,2020-01-01,false
kommune,0830,Nissedal,08,Bratsbergs amt,1838-01-01,2020-01-01,false
kommune,0831,Fyresdal,08,Bratsbergs amt,1838-01-01,2020-01-01,false
kommune,0832,Mo (Telemark),08,Bratsbergs amt,1838-01-01,1964-01-01,false
kommune,0833,Lårdal,08,Bratsbergs amt,1838-01-01,1964-01-01,false
kommune,0833,Tokke,08,Telemark,1964-01-01,2020-01-01,false
kommune,0834,Vinje (Telemark),08,Bratsbergs amt,1838-01-01,1964-01-01,false
