from_year,to_year,level,from_id,to_id,change_type,source_file
2017,2021,municipality,0439,3429,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0441,3430,merge,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0501,3405,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0502,3407,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0511,3431,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0512,3432,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0513,3433,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0514,3434,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0515,3435,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0516,3436,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0517,3437,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0519,3438,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0520,3439,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0521,3440,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0522,3441,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0528,3442,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0529,3443,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0532,3053,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0533,3054,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0534,3446,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0536,3447,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0538,3448,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0540,3449,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0541,3450,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0542,3451,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0543,3452,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0544,3453,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0545,3454,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0602,3005,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0604,3006,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0605,3007,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0612,3038,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0615,3039,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0616,3034,merge,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0617,3041,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0618,3042,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0619,3043,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0620,3044,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0621,3045,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0622,3046,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0623,3047,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0624,3048,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0626,3049,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0631,3050,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0632,3051,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0633,3052,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0701,3801,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0702,3802,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0704,3803,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0709,3805,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0710,3804,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0805,3806,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0806,3807,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0807,3808,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
